Dan_Levy_(Canadian_actor)	Sarah_Levy	143578	1.0	1.0
Kurt_Russell	Goldie_Hawn	139564	1.0	1.0
Elliot_Page	Juno_(film)	139203	1.0	1.0
2008_United_States_presidential_election	2012_United_States_presidential_election	139194	1.0	1.0
2012_United_States_presidential_election	2016_United_States_presidential_election	138123	1.0	1.0
Princess_Margaret,_Countess_of_Snowdon	Queen_Elizabeth_The_Queen_Mother	137801	1.0	1.0
Attack_on_Titan	Attack_on_Titan_(TV_series)	136568	1.0	1.0
Tenet_(film)	Elizabeth_Debicki	135027	1.0	1.0
UEFA_Champions_League	2020–21_UEFA_Champions_League	135000	1.0	1.0
Prince_William,_Duke_of_Cambridge	Catherine,_Duchess_of_Cambridge	134942	1.0	1.0
The_Mandalorian	List_of_Star_Wars_television_series	131962	1.0	1.0
Charles,_Prince_of_Wales	Prince_Harry,_Duke_of_Sussex	131119	1.0	1.0
The_Mandalorian	Grogu	131019	1.0	1.0
Scarlett_Johansson	Colin_Jost	130496	1.0	1.0
Edward_VII	Queen_Victoria	129634	1.0	1.0
Anne,_Princess_Royal	Mark_Phillips	129514	1.0	1.0
Bridgerton	Adjoa_Andoh	129411	1.0	1.0
2012_United_States_presidential_election	2008_United_States_presidential_election	127966	1.0	1.0
Prince_Philip,_Duke_of_Edinburgh	Charles,_Prince_of_Wales	127689	1.0	1.0
Anne,_Princess_Royal	Peter_Phillips	126102	1.0	1.0
The_Mandalorian	Chapter_14:_The_Tragedy	125805	1.0	1.0
Emma_Roberts	Garrett_Hedlund	125423	1.0	1.0
George_Clooney	Amal_Clooney	124983	1.0	1.0
Selena	Abraham_Quintanilla	124689	1.0	1.0
Selena	A._B._Quintanilla	124364	1.0	1.0
George_III	George_IV	124005	1.0	1.0
Camilla,_Duchess_of_Cornwall	Charles,_Prince_of_Wales	123973	1.0	1.0
Elizabeth_I	James_VI_and_I	123565	1.0	1.0
Diana,_Princess_of_Wales	John_Spencer,_8th_Earl_Spencer	123430	1.0	1.0
2016_United_States_presidential_election	2012_United_States_presidential_election	123109	1.0	1.0
George_IV	William_IV	122500	1.0	1.0
The_Queen's_Gambit_(miniseries)	Thomas_Brodie-Sangster	122386	1.0	1.0
Keanu_Reeves	Jennifer_Syme	122334	1.0	1.0
Elon_Musk	Talulah_Riley	121903	1.0	1.0
Main_Page	COVID-19_pandemic_by_country_and_territory	120652	1.0	1.0
The_Mandalorian	Pedro_Pascal	120526	1.0	1.0
Centennial_Olympic_Park_bombing	Richard_Jewell	119901	1.0	1.0
Shia_LaBeouf	Mia_Goth	119037	1.0	1.0
Wonder_Woman_1984	Pedro_Pascal	118716	1.0	1.0
Queen_Victoria	William_IV	117829	1.0	1.0
Elin_Nordegren	Jordan_Cameron	117557	1.0	1.0
Macaulay_Culkin	Mila_Kunis	117448	1.0	1.0
Schitt's_Creek	List_of_Schitt's_Creek_episodes	117054	1.0	1.0
2020_Formula_One_World_Championship	2021_Formula_One_World_Championship	115956	1.0	1.0
COVID-19_pandemic_by_country_and_territory	COVID-19_pandemic_in_the_United_States	115784	1.0	1.0
The_Midnight_Sky	Felicity_Jones	115732	1.0	1.0
Macaulay_Culkin	Rachel_Miner	115659	1.0	1.0
Goldie_Hawn	Kurt_Russell	115604	1.0	1.0
Queen_Elizabeth_The_Queen_Mother	Elizabeth_II	115572	1.0	1.0
Wonder_Woman_1984	Kristen_Wiig	115491	1.0	1.0
Anya_Taylor-Joy	The_Queen's_Gambit_(miniseries)	114930	1.0	1.0
Prince_Andrew,_Duke_of_York	Sarah,_Duchess_of_York	114381	1.0	1.0
White_Christmas_(film)	Rosemary_Clooney	113962	1.0	1.0
Robert_Pattinson	Suki_Waterhouse	113148	1.0	1.0
George_Clooney	George_Clooney_filmography	112825	1.0	1.0
Queen_Elizabeth_The_Queen_Mother	Princess_Margaret,_Countess_of_Snowdon	112468	1.0	1.0
Diana,_Princess_of_Wales	Prince_William,_Duke_of_Cambridge	112280	1.0	1.0
The_Mandalorian	Chapter_15:_The_Believer	112116	1.0	1.0
Home_Alone	Macaulay_Culkin	111571	1.0	1.0
Prince_Philip,_Duke_of_Edinburgh	Anne,_Princess_Royal	111344	1.0	1.0
Bridgerton	Claudia_Jessie	110538	1.0	1.0
Wonder_Woman_(2017_film)	Wonder_Woman_1984	110357	1.0	1.0
UFC_Fight_Night:_Thompson_vs._Neal	UFC_Fight_Night:_Holloway_vs._Kattar	110176	1.0	1.0
William_IV	Queen_Victoria	109954	1.0	1.0
James_Stewart	Gloria_Hatrick_McLean	109687	1.0	1.0
The_Queen's_Gambit_(miniseries)	Jacob_Fortune-Lloyd	109303	1.0	1.0
Diana,_Princess_of_Wales	Dodi_Fayed	108530	1.0	1.0
The_Mandalorian	List_of_The_Mandalorian_characters	108448	1.0	1.0
Winston_Churchill	Anthony_Eden	108384	1.0	1.0
Margaret_Thatcher	Mark_Thatcher	108186	1.0	1.0
Prince_Harry,_Duke_of_Sussex	Meghan,_Duchess_of_Sussex	107054	1.0	1.0
Gal_Gadot	Red_Notice_(film)	106817	1.0	1.0
Charles,_Prince_of_Wales	Prince_Philip,_Duke_of_Edinburgh	106707	1.0	1.0
The_Crown_(TV_series)	Claire_Foy	106682	1.0	1.0
Virgin_River_(TV_series)	Alexandra_Breckenridge	106672	1.0	1.0
Prince_Philip,_Duke_of_Edinburgh	Prince_Edward,_Earl_of_Wessex	106548	1.0	1.0
Star_Wars	List_of_Star_Wars_films	106338	1.0	1.0
Main_Page	Great_conjunction	106300	1.0	1.0
Prince_Philip,_Duke_of_Edinburgh	Prince_Andrew,_Duke_of_York	106145	1.0	1.0
Giovanna_Fletcher	Tom_Fletcher	105534	1.0	1.0
Mank	Herman_J._Mankiewicz	105221	1.0	1.0
List_of_Running_Man_episodes	List_of_Running_Man_episodes_(2020)	104299	1.0	1.0
Harshad_Mehta	Sucheta_Dalal	104220	1.0	1.0
Barbara_Windsor	Ronnie_Knight	103898	1.0	1.0
Zooey_Deschanel	Emily_Deschanel	103723	1.0	1.0
James_VI_and_I	Charles_I_of_England	103263	1.0	1.0
Gilligan's_Island	Tina_Louise	102694	1.0	1.0
It's_a_Wonderful_Life	James_Stewart	102648	1.0	1.0
Mitch_McConnell	Elaine_Chao	102516	1.0	1.0
Jeff_Bezos	MacKenzie_Scott	101206	1.0	1.0
Macaulay_Culkin	Macaulay_Culkin_filmography	101149	1.0	1.0
Ma_Rainey's_Black_Bottom_(film)	Ma_Rainey	100656	1.0	1.0
Aubrey_Plaza	Jeff_Baena	100192	1.0	1.0
Elon_Musk	Justine_Musk	100132	1.0	1.0
Logan_Paul	Jake_Paul	99734	1.0	1.0
Goldie_Hawn	Kate_Hudson	99727	1.0	1.0
Mary_I_of_England	Elizabeth_I	99641	1.0	1.0
Mulan_(2020_film)	Liu_Yifei	99574	1.0	1.0
Selena	Subclavian_artery	99552	1.0	1.0
Paul_McCartney	Personal_relationships_of_Paul_McCartney	99488	1.0	1.0
Diana,_Princess_of_Wales	Frances_Shand_Kydd	99260	1.0	1.0
The_Mandalorian	The_Mandalorian_(character)	98966	1.0	1.0
Eminem	Music_to_Be_Murdered_By	98953	1.0	1.0
Kurt_Russell	Wyatt_Russell	98600	1.0	1.0
Diana,_Princess_of_Wales	Prince_Harry,_Duke_of_Sussex	98335	1.0	1.0
Peaky_Blinders_(TV_series)	List_of_Peaky_Blinders_episodes	97877	1.0	1.0
Tom_Cruise	Mimi_Rogers	96651	1.0	1.0
Prince_Edward,_Earl_of_Wessex	Lady_Louise_Windsor	96598	1.0	1.0
Bridgerton	Sabrina_Bartlett	96536	1.0	1.0
Tom_Hanks	List_of_Tom_Hanks_performances	96472	1.0	1.0
NXT_TakeOver:_WarGames_(2020)	TLC:_Tables,_Ladders_&_Chairs_(2020)	96320	1.0	1.0
Ryan_Reynolds	Blake_Lively	95926	1.0	1.0
Henry_VIII	Edward_VI_of_England	95885	1.0	1.0
The_Queen's_Gambit_(miniseries)	Bill_Camp	95850	1.0	1.0
Goldie_Hawn	Wyatt_Russell	94544	1.0	1.0
Canelo_Álvarez	Callum_Smith	94219	1.0	1.0
Lily_Collins	Charlie_McDowell	94098	1.0	1.0
Tobey_Maguire	Tobey_Maguire_filmography	93788	1.0	1.0
Alec_Baldwin	Hilaria_Baldwin	93652	1.0	1.0
Schitt's_Creek	Annie_Murphy	93356	1.0	1.0
It's_a_Wonderful_Life	Donna_Reed	93166	1.0	1.0
Charles_I_of_England	Charles_II_of_England	93140	1.0	1.0
Pentatonix	Kirstin_Maldonado	93070	1.0	1.0
