Andrew_Parker_Bowles	211979	0.5299	0.6727
Logan_Paul	211433	0.2443	0.6232
Abraham_Quintanilla	209533	0.4894	0.881
Kate_Hudson	208678	0.4878	0.906
Harold_Wilson	208464	0.4016	0.8684
Sonia_Sutcliffe	208069	0.6795	0.3333
Anne,_Queen_of_Great_Britain	207922	0.6784	0.9774
Winston_Churchill	206590	0.1507	0.8814
Regé-Jean_Page	204906	0.1706	0.4286
Thomas_Brodie-Sangster	204866	0.2517	0.8163
Kamala_Harris	203994	0.2372	0.8506
Herman_J._Mankiewicz	202665	0.3649	0.6966
Charles_I_of_England	199886	0.7411	0.9764
Edward_VI_of_England	199857	0.7735	0.9751
Jeffrey_Sprecher	198941	0.6709	0.6154
Characters_of_the_Marvel_Cinematic_Universe	198710	0.8686	0.9389
TLC:_Tables,_Ladders_&_Chairs_(2020)	197894	0.2073	0.2864
2004_United_States_presidential_election	197575	0.7156	0.9711
Anthony_Eden	197283	0.2896	0.8365
Chapter_14:_The_Tragedy	197280	0.7368	0.8049
UFC_Fight_Night:_Holloway_vs._Kattar	197277	0.9199	0.8571
Asteria_(mythology)	197082	0.9002	0.7037
Grimes_(musician)	197030	0.4592	0.9247
Sophie,_Countess_of_Wessex	196951	0.7707	0.949
Alexandra_Grant	196741	0.7272	0.2857
George_H._W._Bush	194659	0.5345	0.9803
Dodi_Fayed	194514	0.6047	0.9014
List_of_The_Sopranos_characters	194505	0.8123	0.9631
Boba_Fett	194495	0.2771	0.8502
The_Mandalorian_(character)	194487	0.541	0.9028
President_of_the_United_States	194052	0.4618	0.9737
The_Queen's_Gambit_(novel)	193982	0.3174	0.3889
Barack_Obama	193829	0.2476	0.9592
Canelo_Álvarez	192840	0.2188	0.665
William_III_of_England	192067	0.8199	0.9846
Rosemary_Clooney	192020	0.3122	0.8954
Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma	191339	0.1544	0.8386
Meghan,_Duchess_of_Sussex	191296	0.3838	0.8802
Ronald_Reagan	190950	0.3428	0.9691
Kieran_Culkin	189937	0.555	0.9
Ryan_Reynolds	189657	0.3365	0.8862
Kristen_Wiig	189399	0.1958	0.8182
Bridgerton	189228	0.0777	0.204
Elizabeth_Debicki	188799	0.3795	0.7273
Prince_George_of_Cambridge	188453	0.8305	0.9302
Felicity_Jones	187776	0.4771	0.9231
India	186548	0.2574	0.9624
Mark_Phillips	186144	0.8235	0.9
James_II_of_England	185856	0.8381	0.9798
2000_United_States_presidential_election	185493	0.647	0.9775
Garrett_Hedlund	185286	0.613	0.8689
Academy_Awards	184298	0.6408	0.9868
George_Clooney	183850	0.199	0.83
Paul_McCartney	183807	0.2571	0.9252
Emma_Roberts	183014	0.3274	0.8555
Non-binary_gender	182885	0.4427	0.9609
Jeff_Bezos	182522	0.1922	0.7066
The_Masked_Singer_(American_season_4)	182407	0.2553	0.4175
List_of_The_Expanse_episodes	181904	0.636	0.5
Blake_Lively	181750	0.3999	0.8321
Matt_Smith_(actor)	181733	0.5706	0.9171
Chapter_15:_The_Believer	181370	0.7745	0.7879
Sarah,_Duchess_of_York	180757	0.483	0.8322
Bing_Crosby	180358	0.2191	0.9292
Kirsten_Dunst	180243	0.5422	0.913
UFC_on_ESPN:_Hermansson_vs._Vettori	180180	0.7554	0.8043
James_Stewart	180167	0.2239	0.9013
Star_Wars:_The_Rise_of_Skywalker	178952	0.4516	0.9103
George_I_of_Great_Britain	178405	0.8642	0.975
Timothy_Laurence	177760	0.8452	0.8571
The_Crown_(TV_series)	177674	0.1333	0.7176
List_of_Star_Trek:_Discovery_episodes	177488	0.6861	0.6087
Charles_II_of_England	177123	0.73	0.9855
Zooey_Deschanel	177083	0.1501	0.8403
Christopher_Nolan	176707	0.2279	0.9004
Robert_Pattinson	175675	0.3699	0.8235
Attack_on_Titan_(TV_series)	175513	0.3789	0.6338
Oliver_Hudson	175456	0.6609	0.7778
Wonder_Woman_(2017_film)	174764	0.1911	0.8182
COVID-19_pandemic_in_the_United_States	174722	0.4734	0.9204
Elon_Musk	174342	0.1092	0.6955
John_Lennon	173977	0.2094	0.909
Adolf_Hitler	173876	0.2635	0.9283
Taylor_Swift	173576	0.1669	0.7793
