Laverne_&_Shirley	27.68
The_Masked_Singer_(American_season_1)	27.45
Ray_Donovan	27.32
Paul_Wesley	27.27
Patrick_M._Byrne	27.26
UEFA_Champions_League	27.22
Maria_Bello	27.16
Rob_Mariano	27.08
Tucker_Carlson	26.88
Yolanda_Saldívar	26.67
Beastie_Boys	26.59
Jingle_All_the_Way	26.56
Alex_Horne	26.53
2_Days_&_1_Night	26.45
Oti_Mabuse	26.45
Dylan_Sprouse	26.36
Elizabeth_Gillies	26.12
Hillbilly_Elegy	25.99
1908_United_States_presidential_election	25.74
UFC_Fight_Night:_Holloway_vs._Kattar	25.71
Live_from_Clear_Channel_Stripped_2008	25.43
Empirical_evidence	25.24
Nick_Jonas	25.16
2021_in_film	24.99
Grover_Cleveland	24.86
Robert_Kardashian	24.65
Meet_Me_in_St._Louis	24.59
Lady_Dorothy_Macmillan	24.51
John_Denver	24.34
Michael_Adeane,_Baron_Adeane	24.15
1988_United_States_presidential_election	23.95
2020_United_States_presidential_election_in_New_York	23.87
Uncle_Frank_(film)	23.59
Uncle_Buck	23.55
2019_Formula_One_World_Championship	23.54
Christine_Baranski	23.47
Kevin_Jonas	23.45
James_Van_Der_Beek	23.43
Rowdy_Rebel	23.06
The_Waitresses	22.82
Robin_Janvrin,_Baron_Janvrin	22.62
Linda_Lusardi	22.59
Chapter_14:_The_Tragedy	22.54
Stacey_Dooley	22.42
Diego_Luna	22.25
Emily_Atack	22.21
Joseph_L._Mankiewicz	22.08
Theresa_May	22.05
Prabhas	22.0
Emma_Portner	21.82
Edward_Snowden	21.52
Jango_Fett	21.42
Heidi_Gardner	21.33
Melissa_Joan_Hart	21.28
Alyssa_Farah	21.28
Derek_Watt	21.2
Hilary_Duff	20.9
Northern_California	20.88
Alex_Scott_(footballer,_born_1984)	20.85
Rosamygale	20.84
2019_Formula_2_Championship	20.83
S.W.A.T._(2017_TV_series)	20.78
Darren_McGavin	20.62
2015_United_Kingdom_general_election	20.48
Goo_Goo_Dolls	20.48
Uncertainty	20.46
Mr._Miyagi	20.4
Great_Pretender_(TV_series)	20.38
Fran_Drescher	20.38
Audrie_&_Daisy	20.33
Will_Arnett	20.24
Claire_Danes	20.23
Mr._Iglesias	20.07
David_Miscavige	20.05
Armie_Hammer	20.02
The_Spanish_Princess	19.98
Garth_Brooks	19.97
Prince_Edward,_Duke_of_Kent_and_Strathearn	19.94
Chester_A._Arthur	19.93
UFC_Fight_Night:_Felder_vs._dos_Anjos	19.88
William_II_of_England	19.85
Anna_Kendrick	19.76
One_Direction	19.69
Brenda_Song	19.69
Annette_O'Toole	19.68
Blondie_(band)	19.68
Shane_Richie	19.67
Boyz_II_Men	19.66
Beau_Biden	19.65
Cheoljong_of_Joseon	19.64
Tamannaah	19.61
Annie_Murphy	19.61
Anna_Paquin	19.54
Salman_of_Saudi_Arabia	19.28
1928_United_States_presidential_election	19.24
2020–21_UEFA_Europa_League	19.18
Mitch_McConnell	19.14
Felipe_VI	19.1
Salma_Hayek	19.07
Gabriel_Macht	19.03
NCIS:_Los_Angeles	19.02
Rachel_McAdams	18.99
Louis_XV	18.95
Victoria_Wood	18.87
The_Christmas_Chronicles_2	18.81
Jason_Momoa	18.79
2020_Romanian_legislative_election	18.79
Talia_Balsam	18.79
Matthew_Perry	18.79
Paul_Rudd	18.79
Phyllis_George	18.77
The_Good_Doctor_(TV_series)	18.75
Noel_Fielding	18.73
Oakland,_California	18.69
Grand_Duchess_Anastasia_Nikolaevna_of_Russia	18.65
Alicia_Keys	18.64
A_California_Christmas	18.45
Nick_Offerman	18.42
Kevin_Holland_(fighter)	18.42
Selena	18.42
Tom_Parker_Bowles	18.42
1924_United_States_presidential_election	18.34
World's_Strongest_Man	18.31
Lance_Stroll	18.28
Ciara	18.19
1892_United_States_presidential_election	18.09
Alicia_Vikander	18.09
Copa_Libertadores	18.06
Bonnie_Wright	17.98
Aloe_Blacc	17.88
Cobie_Smulders	17.85
Archie_Mountbatten-Windsor	17.76
Super_Bowl_LIV	17.75
2020_Formula_One_World_Championship	17.67
Elliot_Page	17.65
Bonnie_Bedelia	17.6
Penn_Badgley	17.54
James_Buchanan	17.5
List_of_Star_Trek:_Discovery_episodes	17.48
Helen_McCrory	17.45
Jonny_Lee_Miller	17.4
John_Forbes_Nash_Jr.	17.39
Ann_Reinking	17.24
Oklahoma_City_bombing	17.21
Frosty_the_Snowman	17.17
Wonder_(film)	17.15
Jason_Segel	17.15
1956_United_States_presidential_election	17.14
2016_NFL_Draft	16.97
Claudius	16.97
Ed_Harris	16.95
Hell_in_a_Cell_(2020)	16.89
Emily_Hampshire	16.81
Neil_Patrick_Harris	16.78
Generation_X	16.76
Margot_Robbie	16.73
Princess_Eugenie	16.71
Emmy_Rossum	16.64
Jason_Statham	16.63
Milli_Vanilli	16.63
1976_United_States_presidential_election	16.57
Tate–LaBianca_murders	16.56
Edward_V_of_England	16.52
Atlanta_murders_of_1979–1981	16.52
Debbie_Allen	16.52
Anthony_Eden	16.49
Gerard_Butler	16.36
WWE_Intercontinental_Championship	16.26
James_Madison	16.23
Edward_II_of_England	16.22
2016_United_States_presidential_election_in_Pennsylvania	16.18
God_of_War_(franchise)	16.13
Travis_Kelce	16.12
Chyler_Leigh	16.1
Jonathan_Groff	16.09
Yungblud	16.06
Duke_of_Windsor	16.04
Nagarjuna_(actor)	16.03
1984_United_States_presidential_election	16.02
1860_United_States_presidential_election	16.0
Mario_Balotelli	15.97
Walt_Disney_Pictures	15.94
Sophia_Loren	15.89
Branches_of_science	15.88
Gong_Li	15.84
List_of_footballers_with_500_or_more_goals	15.81
2016_Formula_One_World_Championship	15.74
Jamie_Chung	15.73
The_Golden_Girls	15.66
The_B-52's	15.63
Family_Guy	15.63
Paul_Mitchell_(politician)	15.58
Freddie_Prinze_Jr.	15.57
British_royal_family	15.39
The_Butler	15.37
Ajith_Kumar	15.36
Marlo_Thomas	15.31
Thomas_Rhett	15.26
Antonia_Lofaso	15.11
Tess_Daly	15.02
Jamie_Dornan	14.94
Henry_IV_of_England	14.89
Amal_Clooney	14.88
The_Darkness_(band)	14.87
1884_United_States_presidential_election	14.85
Robert_Pattinson	14.82
2020_United_States_presidential_election_in_Texas	14.8
2020_AFC_Champions_League	14.8
Miracle_on_34th_Street	14.77
Joe_Alwyn	14.74
Tiger_Woods	14.69
1940_United_States_presidential_election	14.66
George_II_of_Great_Britain	14.65
Searching_for_Bobby_Fischer	14.61
Alfred_the_Great	14.54
The_Undertaker	14.47
Harold_Godwinson	14.45
Jon_Bernthal	14.42
Aladdin_(2019_film)	14.41
The_Ronettes	14.39
Norman_Reedus	14.38
Margaret_Qualley	14.26
Elle_Fanning	14.16
Megan_Thee_Stallion	14.1
Eazy-E	14.06
Paramore	14.03
The_Voice_(American_TV_series)	14.01
Hugh_Jackman	13.98
The_Mamas_and_the_Papas	13.97
Dhanush	13.96
The_Princess_Switch	13.94
Matt_LeBlanc	13.91
Surgeon_General_of_the_United_States	13.87
Hannibal_(TV_series)	13.84
2001_United_Kingdom_general_election	13.83
Animaniacs	13.83
Guy_Pearce	13.82
Leonardo_DiCaprio_filmography	13.76
2016_United_States_presidential_election_in_Florida	13.75
Florence_Pugh	13.75
Beyond_Skyline	13.74
Haley_Bennett	13.74
V._J._Chitra	13.69
Dakota_Fanning	13.65
Lizzy_Caplan	13.64
Catherine_O'Hara	13.63
13_Reasons_Why	13.59
Corpse_Husband	13.48
Jay-Z	13.44
Lady_Sarah_Chatto	13.4
Adam_Brody	13.4
Rylan_Clark-Neal	13.37
Susan_Sarandon	13.36
Gautam_Adani	13.36
Mazzy_Star	13.29
Anthony_Fauci	13.26
Zachary_Taylor	13.24
National_Lampoon's_Christmas_Vacation	13.21
Sara_Pascoe	13.2
Michael_Bublé	13.14
James_II_of_England	13.13
Catherine_Zeta-Jones	13.13
1916_United_States_presidential_election	13.1
Minnie_Driver	13.08
Lee_Harvey_Oswald	13.03
Dilip_Kumar	12.9
Mank	12.88
Murder_of_John_Lennon	12.8
Peter_the_Great	12.79
Tim_McGraw	12.72
Heisman_Trophy	12.7
Tina_Louise	12.67
Kurt_Russell	12.66
Rudolph_the_Red-Nosed_Reindeer	12.63
Tobey_Maguire	12.63
LiAngelo_Ball	12.61
The_Grinch_(film)	12.59
Formula_E	12.57
Travis_Scott	12.53
Paul_Walker	12.52
1997_United_Kingdom_general_election	12.47
Brian_Dennehy	12.46
Will_Ferrell	12.43
Peter_Nygard	12.42
Jared_Leto	12.41
Flavia_Cacace	12.4
The_Stig	12.34
Lark_Voorhies	12.32
John_Krasinski	12.3
Tia_Mowry	12.29
Sebastian_Vettel	12.26
Schindler's_List	12.26
Himesh_Reshammiya	12.23
Wyatt_Earp	12.22
Triple_H	12.18
Lists_of_countries_by_GDP	12.12
Christopher_Plummer	12.1
Succession_to_the_British_throne	12.09
The_Hunt_(2020_film)	12.09
Camilla_Luddington	12.08
Once_Upon_a_Time_(TV_series)	12.07
Natalie_Dormer	12.06
Agatha_Christie's_Poirot	12.06
Hrithik_Roshan	12.04
Ashton_Kutcher	12.04
Simplifly_Deccan	12.04
DoorDash	12.03
Daniel_Stern_(actor)	12.03
Danny_García	12.02
Eric_Dane	12.01
Michaela_Coel	11.99
Cara_Dune	11.98
1972_United_States_presidential_election	11.97
1824_United_States_presidential_election	11.96
Shania_Twain	11.93
Wallis_Simpson	11.93
John_Adams	11.9
1868_United_States_presidential_election	11.9
Stephanie_McMahon	11.87
Digimon_Adventure_(2020_TV_series)	11.86
Hayden_Christensen	11.85
Eugene_(actress)	11.85
Heaven's_Gate_(religious_group)	11.84
Aaron_Taylor-Johnson	11.84
The_Trial_of_the_Chicago_7	11.8
Laurence_Fox	11.78
Aly_&_AJ	11.75
Kyra_Sedgwick	11.69
Fear_the_Walking_Dead	11.65
Lauren_Lapkus	11.63
Julia_Garner	11.5
Selena_albums_discography	11.48
Saint_Nicholas	11.47
1900_United_States_presidential_election	11.42
Borat	11.35
National_Football_League	11.34
Edward_I_of_England	11.34
Frank_Zappa	11.3
The_Nutcracker	11.29
LMFAO	11.29
Claire_Foy	11.23
Edmund_I	11.21
List_of_most-followed_TikTok_accounts	11.2
George_Clooney_filmography	11.2
Quigley_Down_Under	11.19
UFC_258	11.16
Debby_Ryan	11.15
Trans-Siberian_Orchestra	11.13
Peter,_Paul_and_Mary	11.13
Brad_Pitt	11.11
Ice-T	11.08
1864_United_States_presidential_election	11.04
Freddie_Highmore	11.04
Steven_Mnuchin	11.03
Camila_Cabello	11.0
Vijay_(actor)	10.97
A24_(company)	10.96
Chapter_11:_The_Heiress	10.91
MacGyver_(2016_TV_series)	10.9
Doom_Patrol	10.9
Goodfellas	10.89
Joe_Exotic	10.89
Emily_in_Paris	10.82
Kunal_Nayyar	10.81
Vogue_Williams	10.8
Gavin_Rossdale	10.76
Konstantin_Chernenko	10.72
Andrew_Garfield	10.72
James_VI_and_I	10.71
Dixie_D'Amelio	10.7
Maria_von_Trapp	10.68
Kristen_Stewart	10.67
Æthelwulf,_King_of_Wessex	10.65
Elisabeth_Moss	10.64
Giovanni_Pernice	10.58
Charlie_Sheen	10.54
Russell_Crowe	10.54
Chris_Evans_(actor)	10.53
2017_Formula_One_World_Championship	10.51
Tom_Holland_(actor)	10.44
Maya_Harris	10.43
New_Girl	10.43
Greg_Davies	10.39
Kate_Beckinsale	10.37
List_of_UFC_events	10.31
2013_Formula_One_World_Championship	10.28
George_V	10.26
Ade_Edmondson	10.26
Hanged,_drawn_and_quartered	10.25
Die_Hard_(film_series)	10.24
Willem_Dafoe	10.23
Ramones	10.21
Harold_Macmillan	10.21
Fabulous_Lives_of_Bollywood_Wives	10.2
Alicia_Silverstone	10.17
UFC_Fight_Night:_Thompson_vs._Neal	10.14
Nicholas_I_of_Russia	10.12
Emma_Stone	10.1
Louis_XIII	10.1
John,_King_of_England	10.09
John_Wick:_Chapter_2	10.09
Walt_Disney_Animation_Studios	10.03
UFC_Fight_Night_188	10.02
William_Baldwin	10.01
MindGeek	9.99
The_Bachelorette	9.97
Stephen_Hawking	9.96
2004_United_States_presidential_election	9.94
Stephen_King	9.94
Julia_Roberts	9.92
MF_Doom	9.91
Kirk_Cameron	9.89
Don_Knotts	9.86
Daryl_Sabara	9.86
Folklore_(Taylor_Swift_album)	9.86
Mia_Farrow	9.82
Don't_Look_Up_(upcoming_film)	9.81
Frances_Shand_Kydd	9.8
