How_I_Met_Your_Mother	Alyson_Hannigan	16350	1	527.42	How_I_Met_Your_Mother	1.0	1.0
It's_a_Wonderful_Life	Carol_Coombs	16231	1	523.58	It's_a_Wonderful_Life	1.0	1.0
Ronald_Reagan	George_H._W._Bush	47413	3	509.82	Ronald_Reagan	1.0	1.0
Lil_Wayne	Lauren_London	15702	1	506.52	Lil_Wayne	1.0	1.0
How_I_Met_Your_Mother	Cristin_Milioti	15696	1	506.32	How_I_Met_Your_Mother	1.0	1.0
Valéry_Giscard_d'Estaing	François_Mitterrand	15470	1	499.03	Valéry_Giscard_d'Estaing	1.0	1.0
Ben_Shapiro	Mara_Wilson	30695	2	495.08	Ben_Shapiro	1.0	1.0
Winston_Churchill	Clementine_Churchill	40998	3	440.84	Winston_Churchill	1.0	1.0
Winston_Churchill	Clement_Attlee	36819	3	395.9	Winston_Churchill	1.0	1.0
Chitty_Chitty_Bang_Bang	Sally_Ann_Howes	24514	2	395.39	Chitty_Chitty_Bang_Bang	1.0	1.0
Calvin_Coolidge	Herbert_Hoover	24491	2	395.02	Calvin_Coolidge	1.0	1.0
Anthony_Joshua_vs._Kubrat_Pulev	Kubrat_Pulev	22434	2	361.84	Anthony_Joshua_vs._Kubrat_Pulev	1.0	1.0
Ronald_Reagan	Nancy_Reagan	32175	3	345.97	Ronald_Reagan	1.0	1.0
Anthony_Yarde	Lyndon_Arthur	20632	2	332.77	Anthony_Yarde	1.0	1.0
Pierre_Cardin	Andre_Oliver	20019	2	322.89	Pierre_Cardin	1.0	1.0
Winston_Churchill	Diana_Churchill	29902	3	321.53	Winston_Churchill	1.0	1.0
George_W._Bush	Barack_Obama	39339	4	317.25	George_W._Bush	1.0	1.0
Winston_Churchill	Randolph_Churchill	29168	3	313.63	Winston_Churchill	1.0	1.0
Calvin_Coolidge	Warren_G._Harding	18219	2	293.85	Calvin_Coolidge	1.0	1.0
Ronald_Reagan	Jimmy_Carter	26994	3	290.26	Ronald_Reagan	1.0	1.0
The_West_Wing	List_of_The_West_Wing_episodes	26948	3	289.76	The_West_Wing	1.0	1.0
Tom_Fletcher	Giovanna_Fletcher	35547	4	286.67	Tom_Fletcher	1.0	1.0
WWE_Tribute_to_the_Troops	WWE_Tribute_to_the_Troops_results	16576	2	267.35	WWE_Tribute_to_the_Troops	1.0	1.0
Winston_Churchill	Mary_Soames	24434	3	262.73	Winston_Churchill	1.0	1.0
Quincy_(actor)	Sean_Combs	15848	2	255.61	Quincy_(actor)	1.0	1.0
