66139212	15250126	1	1	1.0	187363	8	23420.375
54878743	15888571	1	1	1.0	832	2	416.0
40782286	15924457	2	2	1.0	269	253	1.0632
47741913	16204278	1	1	1.0	2842	8	355.25
66113533	16367662	1	1	1.0	20891	13	1607.0
66127008	16759563	1	1	1.0	75937	13	5841.3077
66210321	17069653	1	1	1.0	251	9	27.8889
66188080	17675815	1	1	1.0	18632	13	1433.2308
66064980	18988303	1	1	1.0	11623	12	968.5833
66139561	19404073	1	1	1.0	142827	9	15869.6667
66168727	19706895	1	1	1.0	332	26	12.7692
66171199	20398877	2	2	1.0	19950	25	798.0
66237420	20398877	1	1	1.0	10178	19	535.6842
62231019	20483999	1	1	1.0	2089838	90	23220.4222
3532490	21126366	1	1	1.0	3782	182	20.7802
59275546	21343364	1	1	1.0	14786	3	4928.6667
66026673	21715336	1	1	1.0	120527	8	15065.875
65698126	21767729	2	2	1.0	51154	160	319.7125
66117100	21767729	1	1	1.0	25560	7	3651.4286
66164427	22922645	1	1	1.0	23038	15	1535.8667
66101631	24648397	1	1	1.0	29	3	9.6667
65945625	24748448	1	1	1.0	75	4	18.75
65974927	24812038	1	1	1.0	323154	5	64630.8
66038466	24870543	1	1	1.0	344630	5	68926.0
66105360	26021349	1	1	1.0	164583	17	9681.3529
65978525	26778615	1	1	1.0	63684	2	31842.0
66108808	26778615	1	1	1.0	64006	23	2782.8696
50546797	27466153	6	6	1.0	6680	4952	1.3489
65987506	28040267	1	1	1.0	119243	17	7014.2941
66039019	28040267	1	1	1.0	120219	42	2862.3571
66049711	28040267	1	1	1.0	119845	7	17120.7143
66076908	28040267	1	1	1.0	120112	10	12011.2
66088458	28040267	1	1	1.0	120357	18	6686.5
66038531	28857043	2	2	1.0	46476	45	1032.8
21560706	29088686	1	1	1.0	618879	15	41258.6
65913099	29088686	1	1	1.0	616814	4	154203.5
65916043	29088686	1	1	1.0	618221	4	154555.25
65961466	29088686	1	1	1.0	618321	4	154580.25
65971168	29088686	1	1	1.0	617193	5	123438.6
65972555	29088686	1	1	1.0	617479	5	123495.8
65980069	29088686	1	1	1.0	617170	4	154292.5
65983902	29088686	1	1	1.0	625142	6	104190.3333
65993927	29088686	1	1	1.0	616779	7	88111.2857
65995644	29088686	1	1	1.0	616934	4	154233.5
66006186	29088686	1	1	1.0	618671	4	154667.75
66038138	29088686	1	1	1.0	620385	4	155096.25
66050335	29088686	1	1	1.0	620355	4	155088.75
66067333	29088686	1	1	1.0	622051	4	155512.75
66069145	29088686	1	1	1.0	622309	3	207436.3333
66076360	29088686	1	1	1.0	622168	4	155542.0
66076823	29088686	1	1	1.0	622717	6	103786.1667
66084593	29088686	1	1	1.0	620682	5	124136.4
66139332	29088686	1	1	1.0	624159	5	124831.8
66152613	29088686	1	1	1.0	624007	4	156001.75
66161008	29088686	1	1	1.0	627980	4	156995.0
66180102	29088686	1	1	1.0	627872	4	156968.0
66228631	29088686	1	1	1.0	628223	4	157055.75
66008250	29434718	1	1	1.0	33345	13	2565.0
66061854	29434718	1	1	1.0	33721	4	8430.25
66156365	29526596	1	1	1.0	2237	10	223.7
65715281	29539620	1	1	1.0	15742	11	1431.0909
65974488	29539620	1	1	1.0	15479	8	1934.875
66202156	30214233	1	1	1.0	6711	7	958.7143
66211516	30312121	1	1	1.0	8519	5	1703.8
66046062	30483022	1	1	1.0	160	40	4.0
55684503	30928335	6	6	1.0	91244	1679	54.3443
62055604	31067878	1	1	1.0	4	51	0.0784
66100078	31876559	1	1	1.0	23846	36	662.3889
65643716	32631007	1	1	1.0	523	5	104.6
34218338	32763026	1	1	1.0	88822	4	22205.5
26004152	32972691	1	1	1.0	3569	718	4.9708
65999523	33164965	1	1	1.0	7293	3	2431.0
66063660	33537104	1	1	1.0	71	55	1.2909
66206161	33863784	1	1	1.0	6496	2	3248.0
66044984	34581532	1	1	1.0	153154	5	30630.8
31725296	35019008	1	1	1.0	6296	63	99.9365
66147004	35157731	1	1	1.0	14613	3	4871.0
65924305	35354423	1	1	1.0	5377	2	2688.5
66064893	35354423	1	1	1.0	5805	4	1451.25
66186898	35354423	1	1	1.0	7191	10	719.1
66073368	35365099	1	1	1.0	5377	2	2688.5
66110917	35522111	1	1	1.0	3450	19	181.5789
66163664	35522111	1	1	1.0	3810	5	762.0
65891286	35678896	1	1	1.0	7271	30	242.3667
66093596	36041715	1	1	1.0	209	8	26.125
48481474	36148677	1	1	1.0	21381	6	3563.5
66046680	36512151	1	1	1.0	46	28	1.6429
65780159	36664386	1	1	1.0	16976	28	606.2857
65991796	36731198	1	1	1.0	9797	13	753.6154
66122652	36736663	1	1	1.0	5777	7	825.2857
66209672	36736663	2	2	1.0	12661	19	666.3684
66220773	36757813	1	1	1.0	299	2	149.5
66113320	36785066	1	1	1.0	60	5	12.0
65998395	36833174	1	1	1.0	5208	3	1736.0
66044679	37450497	1	1	1.0	61	3	20.3333
66121929	37465615	1	1	1.0	5518	3	1839.3333
65982116	37507540	1	1	1.0	12870	11	1170.0
66180190	37507540	1	1	1.0	13637	2	6818.5
65910488	37858148	1	1	1.0	123438	4	30859.5
65869962	37927875	1	1	1.0	183	26	7.0385
66107698	38285650	1	1	1.0	2266	28	80.9286
66076069	38325274	1	1	1.0	8642	2	4321.0
65897066	38574478	1	1	1.0	559	23	24.3043
66041076	38674656	1	1	1.0	6628	6	1104.6667
66089198	38890092	1	1	1.0	33707	9	3745.2222
64483565	38905475	1	1	1.0	50772	3	16924.0
66146991	38905475	1	1	1.0	50756	3	16918.6667
66141528	38976656	2	2	1.0	7905	33	239.5455
65951192	39117526	1	1	1.0	11	4	2.75
66038531	39168402	1	1	1.0	82	26	3.1538
66092242	39173260	1	1	1.0	808	5	161.6
66199182	39368017	1	1	1.0	13978	7	1996.8571
66190242	39368978	1	1	1.0	2378	4	594.5
66190278	39368978	1	1	1.0	2384	2	1192.0
