3532490	20.8
4475719	\N
6873479	0.2
12263647	\N
17813302	135.1
19764125	6.5
21560657	46467.6
21560706	41258.6
21760137	2017.4
23366962	2943.3
24612124	14315.5
25915076	76339.4
26004152	5.0
27556296	78063.0
31725296	99.9
33550340	1717.3
33692495	875.8
34218338	22205.5
36567693	10959.0
40782286	1.1
40960838	20198.2
42025607	18277.2
42083174	9.6
46411736	731.2
47741377	\N
47741913	355.3
48481474	3563.5
48670978	26746.2
49379171	\N
50039032	719.0
50546797	1.3
54214936	127.0
54412281	686.4
54878743	416.0
55684503	54.3
57014243	\N
59275546	4347.4
60636133	8820.7
60735660	24963.8
61646430	813.7
62055604	0.1
62231019	23220.4
62333385	0.0
63740076	2295.3
63758360	761403.3
64483565	16924.0
64683349	2.1
64973397	\N
65195736	0.9
65315006	17339.3
65570008	0.5
65586571	1.0
65628832	9.1
65643716	104.6
65698126	319.7
65699599	2.2
65715281	1431.1
65717388	\N
65719820	13407.2
65736206	\N
65737905	22973.5
65780159	606.3
65783404	\N
65869962	7.0
65872573	25.5
65872823	89.8
65884691	0.1
65891286	677.8
65897066	24.3
65910488	30859.5
65913099	154203.5
65916043	154555.3
65916907	1.0
65924305	2688.5
65934963	7.5
65939404	\N
65945625	18.8
65950704	1.1
65951192	2.8
65952144	0.1
65961466	154580.3
65970132	4192.0
65971168	123438.6
65972541	16.1
65972555	123495.8
65974488	968.5
65974927	64630.8
65978525	31842.0
65980069	154292.5
65982116	1170.0
65983902	104190.3
65984444	158.3
65984735	14657.0
65987506	7014.3
65987644	59922.0
65990732	1.0
65990961	1.3
65991560	1834.4
65991796	753.6
65992092	16530.9
65992268	75457.8
65993260	6317.0
65993561	1.0
65993927	88111.3
65995644	154233.5
65998395	1736.0
65999523	2431.0
66000975	\N
66001378	\N
66004597	0.9
66005316	42.5
66005402	100450.7
66006186	154667.8
66008250	1283.8
66009291	1.4
66012382	916.6
66012551	76.5
66013369	19460.4
66016002	11.4
66018141	\N
66019984	501.3
66022961	\N
66026673	15065.9
66030648	\N
66038138	155096.3
66038421	8368.0
66038462	34635.2
66038466	68926.0
66038531	518.0
66039019	2862.4
66040580	4.0
66041062	12479.8
66041076	1104.7
66044653	\N
66044679	20.3
66044984	30630.8
66045247	149980.0
66045749	162194.5
66046062	2.8
66046680	1.6
66046714	2055.8
66048959	5.3
66048965	3.0
66049711	17120.7
66050058	1.5
66050335	155088.8
66052702	1.0
66057519	11.1
66061854	8430.3
66063196	32798.7
66063660	1.3
66064325	1.5
66064600	11.3
66064893	1451.3
66064980	968.6
66065930	21.5
66066187	\N
66067333	155512.8
66068279	10.0
66069128	6.2
66069145	207436.3
66069587	\N
66072449	\N
66073368	2688.5
66073492	0.7
66074296	2.0
66076069	4321.0
66076360	155542.0
66076544	21.8
66076823	103786.2
66076908	12011.2
66082506	4.3
66083973	13533.0
66084593	124136.4
66085223	760.8
66085855	859.9
66088458	6686.5
66089198	4112.8
66091371	3124.7
66092242	161.6
66093596	26.1
66098234	\N
66098345	15033.5
66098976	24296.3
66100078	331.8
66100305	11068.4
66100570	22.5
66100681	0.9
66101109	17933.2
66101631	9.7
66103540	13750.7
66104241	128.8
66104589	38642.8
66105360	9681.4
66107698	358.4
66108286	1758.5
66108808	2782.9
66109608	1.0
66110917	181.6
66111240	10054.7
66111483	47.0
66112382	5596.6
66113320	12.0
66113533	1607.0
66114217	15.2
66115145	1411.2
66117100	3651.4
66121040	1.0
66121685	7130.4
66121929	1839.3
66122652	825.3
66127008	2922.9
66127276	\N
66130029	131.0
66130055	3622.9
66131549	0.1
66133413	1.0
66133652	23707.0
66135294	13.1
66135342	\N
66136127	\N
66136155	\N
66139212	23420.4
66139332	124831.8
66139561	15869.7
66141528	239.5
66144012	1957.2
66146991	16918.7
66147004	4871.0
66152613	156001.8
66154972	4.8
66156365	120.3
66157117	53472.0
66161008	156995.0
66163664	762.0
66164427	1535.9
66167719	4366.2
66168727	12.8
66169300	1.1
66169475	16390.5
66171199	798.0
66172868	36260.0
66177174	1.0
66178878	4.0
66179571	21.0
66179707	0.7
66180102	156968.0
66180168	52224.5
66180190	6818.5
66181336	1.1
66181714	\N
66181889	187.1
66185286	3.9
66186898	719.1
66188028	32470.0
66188080	1575.0
66188245	335.3
66189224	2.0
66190242	594.5
66190278	1192.0
66199182	1996.9
66200186	86.0
66200662	13.5
66201303	2.3
66202156	958.7
66204641	2321.8
66204681	6.5
66204724	3.0
66205273	13319.3
66206161	3248.0
66206337	4016.8
66209672	334.6
66209688	2.8
66209781	5.3
66210152	189.0
66210321	27.9
66211516	1703.8
66214560	\N
66215274	5055.0
66215518	\N
66219837	15.7
66220773	149.5
66221136	10.5
66221311	1.4
66223562	2.0
66225086	1.2
66228631	157055.8
66231122	8776.0
66236818	31.7
66237420	268.1
66238541	12931.3
66239236	1.0
66247152	11.5
66248652	3.4
66248656	4562.0
66248742	574.3
66252604	0.7
