\N	66256135	0	3	0.0	\N	14	\N
\N	66256953	0	2	0.0	\N	5	\N
160367	14259110	1	1	1.0	172681	2	86340.5
160367	14365247	2	2	1.0	345461	9	38384.5556
318807	63885319	1	1	1.0	158060	4	39515.0
2895456	66254694	1	1	1.0	39476	11	3588.7273
26398660	66257491	2	2	1.0	604497	10	60449.7
30011325	66256169	2	2	1.0	74049	37	2001.3243
30011325	66256282	1	1	1.0	37005	4	9251.25
34581532	66256135	1	1	1.0	153774	4	38443.5
35354423	23398056	2	2	1.0	16423	29	566.3103
35354423	64283857	1	1	1.0	8243	12	686.9167
36148677	66256303	1	1	1.0	21631	2	10815.5
38062138	66256425	2	2	1.0	18848	6	3141.3333
39368978	66257491	1	1	1.0	2631	2	1315.5
40133352	66252845	3	3	1.0	195	30	6.5
40837962	66257491	2	2	1.0	13	8	1.625
40838714	66178757	3	3	1.0	89	83	1.0723
40888804	66256425	1	1	1.0	5	3	1.6667
40888815	66256169	3	3	1.0	114	62	1.8387
40888815	66256282	1	1	1.0	28	3	9.3333
